Decade,Country,Land Temperature,Population,Annual CO2 Emissions,latitude,longitude
1990.0,Brazil,25.432500000000005,151170000.0,256828764.1,-14.235004,-51.92528
2000.0,Brazil,25.562066666666677,176320000.0,341721883.5,-14.235004,-51.92528
1500.0,Brazil,,1000000.0,,-14.235004,-51.92528
1600.0,Brazil,,800000.0,,-14.235004,-51.92528
1700.0,Brazil,,1250000.0,,-14.235004,-51.92528
1750.0,Brazil,,1500000.0,0.0,-14.235004,-51.92528
1800.0,Brazil,,2500000.0,0.0,-14.235004,-51.92528
1820.0,Brazil,,4507000.0,0.0,-14.235004,-51.92528
1760.0,Brazil,,,0.0,-14.235004,-51.92528
1770.0,Brazil,,,0.0,-14.235004,-51.92528
1780.0,Brazil,,,0.0,-14.235004,-51.92528
1790.0,Brazil,,,0.0,-14.235004,-51.92528
1810.0,Brazil,,,0.0,-14.235004,-51.92528
2010.0,Brazil,,,471084807.1,-14.235004,-51.92528
1820.0,Denmark,-18.111928571428578,1155000.0,0.0,56.26392,9.501785
1830.0,Denmark,-18.788149999999998,1273000.0,0.0,56.26392,9.501785
1840.0,Denmark,-18.451624999999996,1357000.0,148392.0,56.26392,9.501785
1850.0,Denmark,-18.49296666666667,1499000.0,468625.6,56.26392,9.501785
1860.0,Denmark,-18.81436666666666,1696000.0,830628.8,56.26392,9.501785
1870.0,Denmark,-18.122433333333333,1888000.0,1346886.4,56.26392,9.501785
1880.0,Denmark,-19.121583333333337,2081000.0,2404683.2,56.26392,9.501785
1890.0,Denmark,-19.067758333333344,2294000.0,3803598.4,56.26392,9.501785
1900.0,Denmark,-18.434149999999992,2561000.0,6154420.8,56.26392,9.501785
1910.0,Denmark,-18.668891666666678,2882000.0,8877139.2,56.26392,9.501785
1920.0,Denmark,-17.723416666666672,3242000.0,10870082.7,56.26392,9.501785
1930.0,Denmark,-16.741108333333333,3542000.0,14782310.2,56.26392,9.501785
1940.0,Denmark,-17.329066666666666,3832000.0,17668867.9,56.26392,9.501785
1950.0,Denmark,-17.69228333333332,4271000.0,24669783.0,56.26392,9.501785
1960.0,Denmark,-17.70994999999999,4581000.0,43816958.2,56.26392,9.501785
1970.0,Denmark,-18.206133333333334,4928757.0,59464367.3,56.26392,9.501785
1980.0,Denmark,-18.08960833333334,5123027.0,54806285.6,56.26392,9.501785
1990.0,Denmark,-17.777908333333336,5140954.0,62302088.3,56.26392,9.501785
2000.0,Denmark,-16.507791666666666,5337416.0,54694732.0,56.26392,9.501785
1500.0,Denmark,,600000.0,,56.26392,9.501785
1600.0,Denmark,,650000.0,,56.26392,9.501785
1700.0,Denmark,,700000.0,,56.26392,9.501785
1800.0,Denmark,,1000000.0,0.0,56.26392,9.501785
1750.0,Denmark,,,0.0,56.26392,9.501785
1760.0,Denmark,,,0.0,56.26392,9.501785
1770.0,Denmark,,,0.0,56.26392,9.501785
1780.0,Denmark,,,0.0,56.26392,9.501785
1790.0,Denmark,,,0.0,56.26392,9.501785
1810.0,Denmark,,,0.0,56.26392,9.501785
2010.0,Denmark,,,38604916.6,56.26392,9.501785
1790.0,India,23.923363636363636,,0.0,20.593684,78.96288
1800.0,India,23.97152173913043,,0.0,20.593684,78.96288
1810.0,India,22.767373493975903,,0.0,20.593684,78.96288
1820.0,India,23.61652500000001,209000013.3,0.0,20.593684,78.96288
1830.0,India,23.29611016949152,217576583.9,0.0,20.593684,78.96288
1840.0,India,23.344241666666665,226505104.5,0.0,20.593684,78.96288
1850.0,India,23.50790000000002,235800017.9,103291.7,20.593684,78.96288
1860.0,India,23.488160919540224,244248661.1,409181.0,20.593684,78.96288
1870.0,India,23.721791666666665,253000016.8,345765.8,20.593684,78.96288
1880.0,India,23.58563333333333,257200000.0,2686735.2,20.593684,78.96288
1890.0,India,23.85769166666667,279626000.0,6779723.5,20.593684,78.96288
1900.0,India,23.877974999999992,284500000.0,17858607.7,20.593684,78.96288
1910.0,India,23.774049999999995,302100000.0,32452090.3,20.593684,78.96288
1920.0,India,23.945841666666677,305600000.0,39224858.4,20.593684,78.96288
1930.0,India,23.86824166666668,336400000.0,42006438.3,20.593684,78.96288
1940.0,India,24.086283333333316,386800000.0,52237894.9,20.593684,78.96288
1950.0,India,24.179566666666677,359000000.0,78422172.9,20.593684,78.96288
1960.0,India,24.104091666666665,434000000.0,147243484.4,20.593684,78.96288
1970.0,India,24.14541666666666,541000000.0,228191212.3,20.593684,78.96288
1980.0,India,24.362283333333327,679000000.0,396223151.2,20.593684,78.96288
1990.0,India,24.374716666666668,839000000.0,752428791.4,20.593684,78.96288
2000.0,India,24.670750000000012,1004124000.0,1205677209.5,20.593684,78.96288
1500.0,India,,110000000.0,,20.593684,78.96288
1600.0,India,,135000000.0,,20.593684,78.96288
1700.0,India,,165000000.0,,20.593684,78.96288
1750.0,India,,,0.0,20.593684,78.96288
1760.0,India,,,0.0,20.593684,78.96288
1770.0,India,,,0.0,20.593684,78.96288
1780.0,India,,,0.0,20.593684,78.96288
2010.0,India,,,2191410954.4,20.593684,78.96288
1740.0,United Kingdom,7.384153846153847,,,55.378051,-3.435973
1750.0,United Kingdom,8.326825688073392,7250000.0,9617633.6,55.378051,-3.435973
1760.0,United Kingdom,8.112325,,11398337.6,55.378051,-3.435973
1770.0,United Kingdom,8.408141666666664,,14054004.8,55.378051,-3.435973
1780.0,United Kingdom,8.243350000000001,,17595260.8,55.378051,-3.435973
1790.0,United Kingdom,8.514408333333334,,22258800.0,55.378051,-3.435973
1800.0,United Kingdom,8.220650000000001,10750000.0,30523684.8,55.378051,-3.435973
1810.0,United Kingdom,7.929758333333331,11970000.0,38789668.8,55.378051,-3.435973
1820.0,United Kingdom,8.510091666666662,21239000.0,48377257.6,55.378051,-3.435973
1830.0,United Kingdom,8.222025,24139000.0,69932203.2,55.378051,-3.435973
1840.0,United Kingdom,8.307591666666664,26745000.0,95525609.6,55.378051,-3.435973
1850.0,United Kingdom,8.36824166666667,27181000.0,130420446.4,55.378051,-3.435973
1860.0,United Kingdom,8.38735,28888000.0,195812220.8,55.378051,-3.435973
1870.0,United Kingdom,8.269833333333333,31400000.0,260939088.0,55.378051,-3.435973
1880.0,United Kingdom,8.049249999999999,34623000.0,319758379.2,55.378051,-3.435973
1890.0,United Kingdom,8.382125000000002,37485000.0,367374624.0,55.378051,-3.435973
1900.0,United Kingdom,8.299041666666668,41155000.0,441170148.8,55.378051,-3.435973
1910.0,United Kingdom,8.4504,44916000.0,480917587.2,55.378051,-3.435973
1920.0,United Kingdom,8.5153,46821000.0,420999423.8,55.378051,-3.435973
1930.0,United Kingdom,8.790308333333332,45866000.0,431697394.1,55.378051,-3.435973
1940.0,United Kingdom,8.843966666666663,48226000.0,458623373.4,55.378051,-3.435973
1950.0,United Kingdom,8.722383333333337,50127000.0,549288277.2,55.378051,-3.435973
1960.0,United Kingdom,8.496675000000005,52372000.0,604393213.5,55.378051,-3.435973
1970.0,United Kingdom,8.718533333333333,55632000.0,629311649.7,55.378051,-3.435973
1980.0,United Kingdom,8.72105833333333,56314000.0,561415016.8,55.378051,-3.435973
1990.0,United Kingdom,9.20895,57493307.0,580268341.1,55.378051,-3.435973
2000.0,United Kingdom,9.58765833333333,59522468.0,558479646.5,55.378051,-3.435973
1500.0,United Kingdom,,3942000.0,,55.378051,-3.435973
1600.0,United Kingdom,,6170000.0,,55.378051,-3.435973
1650.0,United Kingdom,,5800000.0,,55.378051,-3.435973
1700.0,United Kingdom,,8565000.0,,55.378051,-3.435973
2010.0,United Kingdom,,,434628736.2,55.378051,-3.435973
